register,user,title,year,score,users_rating,votes,metascore,codirector,director,cogenre,genre,mainactor,secactor,seclanguage,vose,country,seccountry
521,adrlukest73@movistar.com,Monster's Ball,2001,,7.0,80874,69,,Marc Forster,Romance,Drama,Billy Bob Thornton,Taylor Simpson,,English,USA,
523,chobunbux37@orange.com,Waterworld,1995,,6.2,175134,56,,Kevin Reynolds,Adventure,Action,Kevin Costner,Chaim Jeraffi,,English,USA,
524,assaboshe7@vodafone.com ,Night Catches Us,2010,5.0,6.199181446111869,1466,65,,Tanya Hamilton,Romance,Drama,Anthony Mackie,Jamara Griffin,,English,USA,
525,ailestben8@jazztel.com,The Main Event,2020,5.0,4.700214132762313,1401,52,,Jay Karas,Comedy,Action,Seth Carr,Tichina Arnold,,English,USA,
526,zaibelgar033755@digi.com,The Polar Express,2004,,6.6,166567,61,,Robert Zemeckis,Adventure,Animation,Tom Hanks,Leslie Zemeckis,,English,USA,
527,marmaybaz2601@movistar.com,Kill Me Three Times,2014,,5.9,18904,30,,Kriv Stenders,Comedy,Action,Simon Pegg,Steve Le Marquand,,English,USA,Australia
528,verrocmat8819@digi.com,Tomorrowland,2015,,6.4,168241,60,,Brad Bird,Adventure,Action,George Clooney,Hugh Laurie,French,English,USA,Spain
529,marmaybaz2601@movistar.com,Primary Colors,1998,,6.6,26833,70,,Mike Nichols,Drama,Comedy,John Travolta,Emma Thompson,,English,UK,France
530,ursridgra182458@movistar.com,Gifted,2017,,7.6,93748,60,,Marc Webb,,Drama,Chris Evans,Mckenna Grace,,English,USA,
531,darciplle4433@jazztel.com,Rampage,2018,,6.1,134726,45,,Brad Peyton,Adventure,Action,Dwayne Johnson,Naomie Harris,American Sign Language,English,USA,
532,emigraloz8@hotmail.com,Southern Comfort,1981,,7.2,15689,63,,Walter Hill,Thriller,Action,Keith Carradine,Powers Boothe,French,English,USA,
533,ainsalalp45038@movistar.com,Soapdish,1991,,6.6,14041,65,,Michael Hoffman,Romance,Comedy,Cathy Moriarty,Teri Hatcher,,English,USA,
534,tescitel7807@orange.com,Mine,2016,,5.9,14777,40,Fabio Resinaro,Fabio Guaglione,Fantasy,Drama,Armie Hammer,Annabelle Wallis,,English,USA,Spain
535,kevurigav650483@movistar.com,Brewster's Millions,1985,,6.5,34490,37,,Walter Hill,,Comedy,Richard Pryor,John Candy,,English,USA,
536,ismarrpla915496@movistar.com,Foxes,1980,,6.1,3819,65,,Adrian Lyne,,Drama,Jodie Foster,Cherie Currie,,English,USA,
537,alifenvel96289@vodafone.com ,Blood Fest,2018,3.0,5.299410558687852,3902,54,,Owen Egerton,Horror,Comedy,Robbie Kay,Jacob Batalon,,English,USA,
538,chobunbux37@orange.com,A Late Quartet,2012,,7.1,13568,67,,Yaron Zilberman,Music,Drama,Catherine Keener,Christopher Walken,,English,USA,
539,aguherbas3716@gmail.com,Stars in Shorts,2012,8.0,6.407960199004975,201,49,Robert Festinger,Jacob Chase,,Comedy,Lily Tomlin,Jesse Tyler Ferguson,,English,USA,
541,julzanbai012@hotmail.com,Pitch Black,2000,,7.1,221051,49,,David Twohy,Horror,Action,Vin Diesel,Radha Mitchell,Arabic,English,USA,Australia
542,jaighasal61@digi.com,Happiness,1998,,7.7,64875,81,,Todd Solondz,Drama,Comedy,Jane Adams,Jon Lovitz,Russian,English,USA,
543,eleirssas26@gmail.com,Stroker Ace,1983,7.0,4.900605885747259,3466,30,,Hal Needham,Comedy,Action,Burt Reynolds,Ned Beatty,,English,USA,
544,humpenpor2@orange.com,Splinter,2008,,6.1,32365,58,,Toby Wilkins,Sci-Fi,Horror,Charles Baker,Jill Wagner,,English,USA,
545,toldorral065@hotmail.com,Ready Player One,2018,,7.5,345574,64,,Steven Spielberg,Adventure,Action,Tye Sheridan,Olivia Cooke,,English,USA,India
546,ailestben8@jazztel.com,Falling Overnight,2011,,6.7,998,40,,Conrad Jackson,Romance,Drama,Parker Croft,Emilia Ares,,English,USA,
547,ursridgra182458@movistar.com,Deep Blue Sea,1999,,5.9,120949,54,,Renny Harlin,Adventure,Action,Thomas Jane,Saffron Burrows,Spanish,English,USA,Mexico
549,chobunbux37@orange.com,Welcome to Sarajevo,1997,2.0,6.799292139802389,6781,72,,Michael Winterbottom,War,Drama,Stephen Dillane,Woody Harrelson,Serbian,English,UK,USA
550,anaustdob5@digi.com,It,2017,,7.3,435722,69,,Andy Muschietti,,Horror,Jaeden Martell,Jeremy Ray Taylor,,English,Canada,USA
551,josdasvig2879@orange.com,Bedknobs and Broomsticks,1971,,7.1,33007,59,Ward Kimball,Robert Stevenson,Adventure,Animation,Angela Lansbury,David Tomlinson,German,English,USA,
553,conwendi39269@orange.com,Just Looking,1999,,6.7,1387,45,,Jason Alexander,Drama,Comedy,Richard V. Licata,Marcell Rosenblatt,,English,USA,
554,raubetpen522@jazztel.com,Into the Night,1985,2.0,6.499576350969686,10622,41,,John Landis,Comedy,Action,Jeff Goldblum,Stacey Pickren,Persian,English,USA,
555,yurnalala36993@gmail.com,2 Fast 2 Furious,2003,,5.9,244378,38,,John Singleton,Crime,Action,Paul Walker,Tyrese Gibson,Spanish,English,USA,Germany
556,javriscon547659@gmail.com,Afflicted,2013,,6.3,21125,56,Clif Prowse,Derek Lee,Mystery,Horror,Derek Lee,Clif Prowse,French,English,Canada,USA
557,adrlukest73@movistar.com,My Spy,2020,,6.2,8595,42,,Peter Segal,Comedy,Action,Dave Bautista,Chloe Coleman,French,English,USA,
558,julcarbad6@jazztel.com,X-Men: Dark Phoenix,2019,9.0,5.800022772721126,140519,43,,Simon Kinberg,Adventure,Action,James McAvoy,Michael Fassbender,French,English,USA,Canada
559,saafrarei8189@jazztel.com,I Went Down,1997,5.0,6.899035532994924,1970,69,,Paddy Breathnach,Comedy,Action,Peter McDonald,Antoine Byrne,,English,Ireland,UK
560,adidialar3@digi.com,Gladiator,2000,,8.5,1293561,67,,Ridley Scott,Adventure,Action,Russell Crowe,Joaquin Phoenix,,English,USA,UK
561,alifenvel96289@vodafone.com ,Trust Me,2013,,6.1,3210,51,,Clark Gregg,Drama,Comedy,Clark Gregg,Felicity Huffman,,English,USA,
562,chlzabzal66964@gmail.com,Words and Pictures,2013,,6.6,9776,49,,Fred Schepisi,Drama,Comedy,Clive Owen,Juliette Binoche,,English,USA,Canada
563,julcarbad6@jazztel.com,Norbit,2007,,4.1,66439,27,,Brian Robbins,Romance,Comedy,Eddie Murphy,Thandie Newton,,English,USA,
564,valdemesp8@movistar.com,Pushing Tin,1999,,6.0,27783,47,,Mike Newell,Drama,Comedy,John Cusack,Billy Bob Thornton,French,English,USA,Germany
565,ursridgra182458@movistar.com,Hostel: Part II,2007,,5.5,83509,46,,Eli Roth,,Horror,Lauren German,Roger Bart,Slovak,English,USA,Czech Republic
566,joasantey6285@orange.com,The Poseidon Adventure,1972,,7.1,39593,70,,Ronald Neame,Adventure,Action,Gene Hackman,Ernest Borgnine,Hebrew,English,USA,
567,conwendi39269@orange.com,East of Eden,1955,,7.9,38889,72,,Elia Kazan,,Drama,Julie Harris,James Dean,,English,USA,
568,peltuegus5983@jazztel.com,Torn Curtain,1966,2.0,6.699801788124157,23712,55,,Alfred Hitchcock,Thriller,Romance,Paul Newman,Julie Andrews,German,English,USA,
569,hercamare50@vodafone.com ,Surviving Christmas,2004,10.0,5.400210613067168,21841,19,,Mike Mitchell,Romance,Comedy,Ben Affleck,James Gandolfini,Spanish,English,USA,
570,peltuegus5983@jazztel.com,A Novel Romance,2011,,4.6,192,23,,Allie Dvorin,Drama,Comedy,Shannon Elizabeth,Steve Guttenberg,,English,USA,
571,joasantey6285@orange.com,Fast Food Nation,2006,,6.3,23015,64,,Richard Linklater,Drama,Comedy,Wilmer Valderrama,Catalina Sandino Moreno,Spanish,English,UK,USA
572,julzanbai012@hotmail.com,Bad Words,2013,10.0,6.60007465636116,45542,57,,Jason Bateman,Drama,Comedy,Jason Bateman,Kathryn Hahn,,English,USA,
573,joasantey6285@orange.com,Shadow Magic,2000,5.0,6.697708894878706,742,66,,Ann Hu,History,Drama,Jared Harris,Yu Xia,Mandarin,English,China,Germany
574,raubetpen522@jazztel.com,Get Shorty,1995,1.0,6.899920239012586,73971,82,,Barry Sonnenfeld,Crime,Comedy,John Travolta,Gene Hackman,,English,USA,
575,kencarzai79@jazztel.com,Ted,2012,,6.9,558558,62,,Seth MacFarlane,,Comedy,Mark Wahlberg,Mila Kunis,Japanese,English,USA,
576,estgubalz27234@gmail.com,Crown Vic,2019,,6.4,2423,47,,Joel Souza,Crime,Action,Thomas Jane,Bridget Moynahan,,English,USA,
577,chobunbux37@orange.com,Dolphin Tale,2011,,6.9,21828,64,,Charles Martin Smith,Family,Drama,Harry Connick Jr.,Ashley Judd,,English,Canada,USA
578,josdasvig2879@orange.com,American Made,2017,,7.2,150958,65,,Doug Liman,Biography,Action,Tom Cruise,Domhnall Gleeson,Spanish,English,USA,Japan
579,jossatcor68@gmail.com,The Transporter,2002,,6.8,279564,51,Corey Yuen,Louis Leterrier,Crime,Action,Jason Statham,Qi Shu,French,English,France,USA
580,vicalihma19867@gmail.com,Bobby,2006,,7.0,40634,54,,Emilio Estevez,Drama,Biography,Harry Belafonte,Joy Bryant,Spanish,English,USA,
581,yesbelhar0221@gmail.com,Meet the Robinsons,2007,,6.8,84571,61,,Stephen J. Anderson,Adventure,Animation,Angela Bassett,Daniel Hansen,,English,USA,
582,adachusan1@movistar.com,Step Up,2006,,6.5,108309,48,,Anne Fletcher,Drama,Crime,Channing Tatum,Jenna Dewan,,English,USA,
583,julzanbai012@hotmail.com,The Curse of la Llorona,2019,,5.3,33316,41,,Michael Chaves,Mystery,Horror,Linda Cardellini,Roman Christou,Spanish,English,USA,
584,marmaybaz2601@movistar.com,The Pyramid,2014,,4.600017730496454,22560,24,,Grégory Levasseur,Adventure,Action,Ashley Hinshaw,Denis O'Hare,,English,USA,Morocco
585,hercamare50@vodafone.com ,Mulan,1998,2.0,7.59997677697603,241140,71,Barry Cook,Tony Bancroft,Adventure,Animation,Miguel Ferrer,Harvey Fierstein,Mandarin,English,USA,
586,levbouel8567@vodafone.com ,Arlington Road,1999,1.0,7.19992193598751,79422,65,,Mark Pellington,Drama,Crime,Jeff Bridges,Tim Robbins,,English,USA,
587,aleechgua159671@movistar.com,Winnie the Pooh,2011,,7.2,21002,74,Don Hall,Stephen J. Anderson,Adventure,Animation,John Cleese,Jim Cummings,,English,USA,
588,vazbanben7743@digi.com,About Last Night,1986,,6.2,22109,70,,Edward Zwick,Drama,Comedy,Rob Lowe,Demi Moore,,English,USA,
589,fedarrker26@jazztel.com,Risen,2016,,6.3,24298,51,,Kevin Reynolds,Drama,Action,Joseph Fiennes,Tom Felton,,English,USA,
590,sanolealg5@vodafone.com ,Neighbors,1981,,5.6,278487,47,,John G. Avildsen,,Comedy,John Belushi,Kathryn Walker,German,English,USA,
591,zaibelgar033755@digi.com,Motherhood,2009,10.0,4.6012546468401485,4304,34,,Katherine Dieckmann,Drama,Comedy,Uma Thurman,Anthony Edwards,,English,USA,
592,tarbelmor2@digi.com,Blade: Trinity,2004,,5.9,162296,38,,David S. Goyer,Adventure,Action,Wesley Snipes,Kris Kristofferson,Esperanto,English,USA,
593,mimguarez39608@orange.com,Underworld,2003,5.0,6.999991927346115,247750,42,,Len Wiseman,Fantasy,Action,Kate Beckinsale,Scott Speedman,,English,USA,UK
594,manortlle3879@gmail.com,Fast Colour,2018,6.0,6.0,3668,64,,Julia Hart,Sci-Fi,Drama,Gugu Mbatha-Raw,David Strathairn,,English,USA,
595,mimguarez39608@orange.com,K-11,2012,4.0,5.0992889463477695,1547,21,,Jules Stewart,,Drama,Goran Visnjic,Kate del Castillo,,English,USA,
596,layprella7@vodafone.com ,SLC Punk!,1998,,7.5,25266,50,,James Merendino,Drama,Comedy,Matthew Lillard,Michael A. Goorjian,,English,USA,
597,saafrarei8189@jazztel.com,The Glass House,2001,8.0,5.800069633474711,31594,34,,Daniel Sackheim,Drama,Crime,Leelee Sobieski,Diane Lane,Spanish,English,USA,
598,marchesui6@vodafone.com ,The Arrival,1996,0.0,6.3,30968,56,,David Twohy,Thriller,Sci-Fi,Charlie Sheen,Lindsay Crouse,,English,USA,Mexico
599,temifkalo07834@orange.com,Permanent Midnight,1998,6.0,6.299956082564778,6831,57,,David Veloz,Drama,Biography,Ben Stiller,Maria Bello,,English,USA,
600,estgubalz27234@gmail.com,Appaloosa,2008,6.0,6.699987797437462,57365,64,,Ed Harris,Crime,Action,Robert Jauregui,Jeremy Irons,Apache languages,English,USA,
601,ainsalalp45038@movistar.com,Puzzle,2018,,6.7,5438,66,,Marc Turtletaub,,Drama,Kelly Macdonald,David Denman,,English,USA,
602,adidialar3@digi.com,Flight of the Phoenix,2004,,6.1,50835,47,,John Moore,Adventure,Action,Dennis Quaid,Tyrese Gibson,,English,USA,
603,jaibelvec58@movistar.com,Midnight Sun,2018,9.0,6.600115019649191,20866,38,,Scott Speer,Romance,Drama,Bella Thorne,Patrick Schwarzenegger,,English,USA,
604,tabcalras13@hotmail.com,G-Force,2009,,5.1,41524,41,,Hoyt Yeatman,Adventure,Action,Bill Nighy,Will Arnett,English,Spanish,USA,
605,annroddio997@gmail.com,The Jackal,1997,2.0,6.399957697188786,104012,36,,Michael Caton-Jones,Crime,Action,Bruce Willis,Richard Gere,Russian,English,USA,UK
606,estgubalz27234@gmail.com,Clifford's Really Big Movie,2004,5.0,5.399465240641711,748,49,Steve Trenbirth,Robert C. Ramirez,Adventure,Animation,John Ritter,Wayne Brady,,English,USA,
607,gemyanbic970@hotmail.com,Talk to Me,2007,,7.3,9314,69,,Kasi Lemmons,Drama,Biography,Don Cheadle,Chiwetel Ejiofor,,English,USA,
608,julzanbai012@hotmail.com,Stake Land,2010,,6.5,39921,66,,Jim Mickle,Horror,Drama,Connor Paolo,Gregory Jones,,English,USA,
